id,link,name,price,shop_name
100017981386,https://item.jd.com/100017981386.html#comment,"（GREE）1.5匹 云佳 新能效 变频冷暖 自清洁 壁挂式卧室<font class=""skcolor_ljg"">空调</font>挂机(KFR-35GW/NhGe3B 珊瑚玉色)",2799.00,格力京东自营旗舰店
100019386658,https://item.jd.com/100019386658.html#comment,"（GREE）大1匹 云佳 新一级能效 变频冷暖 自清洁 壁挂式<font class=""skcolor_ljg"">空调</font>挂机KFR-26GW/NhGc1B",2799.00,格力京东自营旗舰店
10027424682503,https://item.jd.com/10027424682503.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 云逸Ⅱ 3匹新一级能效 变频冷暖 自清洁 智能WiFi 大风量家用圆柱立式柜机 3匹 KFR-72LW/NhGm1BAj",6999.00,格力官方旗舰店
100019386660,https://item.jd.com/100019386660.html#comment,"（GREE）1.5匹 云佳 新一级能效 变频冷暖 自清洁 壁挂式<font class=""skcolor_ljg"">空调</font>挂机KFR-35GW/NhGc1B",2999.00,格力京东自营旗舰店
100015491508,https://item.jd.com/100015491508.html#comment,"（GREE）大1匹 云佳 新能效 变频冷暖 自清洁 壁挂式卧室<font class=""skcolor_ljg"">空调</font>挂机(KFR-26GW/NhGc3B 珊瑚玉色)",2599.00,格力京东自营旗舰店
10027459157145,https://item.jd.com/10027459157145.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 云佳 1.5匹新一级能效 变频冷暖 自清洁 壁挂式 卧室<font class=""skcolor_ljg"">空调</font>挂机 正1.5匹 KFR-35GW/NhGc1B",2998.00,格力官方旗舰店
10106871251,https://item.jd.com/10106871251.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font>大1.5匹 天丽 新三级能效 变频冷暖 高温自清洁 静音款壁挂式卧室<font class=""skcolor_ljg"">空调</font>挂机",2799.00,格力上海飞通专卖店
100010607429,https://item.jd.com/100010607429.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 京东小家智能生态 3匹 云逸-Ⅱ 1级能效 客厅<font class=""skcolor_ljg"">空调</font>立式<font class=""skcolor_ljg"">空调</font>柜机KFR-72LW/NhGm1BAj",7029.00,格力京东自营旗舰店
10021947357318,https://item.jd.com/10021947357318.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 云炫 新三级能效 变频冷暖 高温自清洁 独立除湿 壁挂式卧室挂机 大1匹 (KFR-26GW/NhGd3B)",2599.00,格力官方旗舰店
10027456694039,https://item.jd.com/10027456694039.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 云佳 大1匹新一级能效 变频冷暖 自清洁 卧室壁挂式<font class=""skcolor_ljg"">空调</font>挂机 大1匹 KFR-26GW/NhGc1B",2799.00,格力官方旗舰店
100037374266,https://item.jd.com/100037374266.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 京东小家智能生态 3匹云逸-Ⅱ 客厅<font class=""skcolor_ljg"">空调</font>立式<font class=""skcolor_ljg"">空调</font>柜机KFR-72LW/NhGm3BAj(珊瑚玉色)",5999.00,格力京东自营旗舰店
10026501649845,https://item.jd.com/10026501649845.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 云之炫 新三级能效 变频冷暖 自清洁 大风量 除湿 客厅家用圆柱立式柜机 2匹 KFR-50LW/NhGg3Bt",4999.00,格力官方旗舰店
10026488258745,https://item.jd.com/10026488258745.html#comment,"（GREE）<font class=""skcolor_ljg"">空调</font> 云锦Ⅱ 新一级能效 变频冷暖 高温自清洁 智能WiFi 客厅圆柱立式柜机 3匹 KFR-72LW/NhAg1BAj",7499.00,格力官方旗舰店
